Zalesienie,Zalesienie po spalaniu,Strata,Strata w %
25.00%,24.96%,0.04,0.15%
26.00%,25.96%,0.04,0.15%
27.00%,26.97%,0.03,0.12%
28.00%,27.97%,0.03,0.12%
29.00%,28.95%,0.05,0.18%
30.00%,29.95%,0.05,0.18%
31.00%,30.94%,0.06,0.18%
32.00%,31.94%,0.06,0.19%
33.00%,32.94%,0.06,0.19%
34.00%,33.92%,0.08,0.22%
35.00%,34.92%,0.08,0.22%
36.00%,35.91%,0.09,0.24%
37.00%,36.91%,0.09,0.25%
38.00%,37.89%,0.11,0.29%
39.00%,38.90%,0.10,0.26%
40.00%,39.89%,0.11,0.28%
41.00%,40.84%,0.16,0.38%
42.00%,41.85%,0.15,0.35%
43.00%,42.81%,0.19,0.45%
44.00%,43.79%,0.21,0.47%
45.00%,44.78%,0.22,0.49%
46.00%,45.73%,0.27,0.59%
47.00%,46.72%,0.28,0.61%
48.00%,47.67%,0.33,0.68%
49.00%,48.62%,0.38,0.77%
50.00%,49.44%,0.56,1.12%
51.00%,50.41%,0.59,1.15%
52.00%,50.78%,1.22,2.35%
53.00%,52.12%,0.88,1.66%
54.00%,52.84%,1.16,2.14%
55.00%,52.85%,2.15,3.92%
56.00%,52.94%,3.06,5.47%
57.00%,52.18%,4.82,8.46%
58.00%,50.24%,7.76,13.38%
59.00%,46.74%,12.26,20.78%
60.00%,42.68%,17.32,28.86%
61.00%,33.30%,27.70,45.41%
62.00%,21.64%,40.36,65.09%
63.00%,16.95%,46.05,73.09%
64.00%,11.89%,52.11,81.43%
65.00%,11.89%,53.11,81.71%
66.00%,9.21%,56.79,86.05%
67.00%,8.24%,58.76,87.70%
68.00%,5.89%,62.11,91.33%
69.00%,4.71%,64.29,93.18%
70.00%,3.04%,66.96,95.65%
71.00%,1.40%,69.60,98.03%
72.00%,1.83%,70.17,97.46%
73.00%,2.37%,70.63,96.75%
74.00%,0.75%,73.25,98.99%
75.00%,0.64%,74.36,99.15%
